tconst,primaryTitle,numVotes,averageRating,startYear,genre,yearRange
tt0353969,Memories of Murder,141636,8.1,2003,Crime,2000 - 2010
tt0266697,Kill Bill: Vol. 1,1005602,8.1,2003,Crime,2000 - 2010
tt0401792,Sin City,739514,8.0,2005,Crime,2000 - 2010
tt1187043,3 Idiots,346675,8.4,2009,Comedy,2000 - 2010
tt0208092,Snatch,785392,8.3,2000,Comedy,2000 - 2010
tt0211915,Amelie,706551,8.3,2001,Comedy,2000 - 2010
tt1049413,Up,940552,8.2,2009,Comedy,2000 - 2010
tt0405508,Rang De Basanti,112386,8.2,2006,Comedy,2000 - 2010
tt0266543,Finding Nemo,953737,8.1,2003,Comedy,2000 - 2010
tt0198781,"Monsters, Inc.",819619,8.1,2001,Comedy,2000 - 2010
tt0978762,Mary and Max,165144,8.1,2009,Comedy,2000 - 2010
tt0382932,Ratatouille,645081,8.0,2007,Comedy,2000 - 2010
tt0365748,Shaun of the Dead,514099,7.9,2004,Comedy,2000 - 2010
tt0253474,The Pianist,734708,8.5,2002,Biography,2000 - 2010
tt0268978,A Beautiful Mind,853631,8.2,2001,Biography,2000 - 2010
tt0363163,Downfall,332707,8.2,2004,Biography,2000 - 2010
tt0264464,Catch Me If You Can,839667,8.1,2002,Biography,2000 - 2010
